Id,Incident_Id,Incident_Number,Incident_Date,Incident_Dayofmonth,Incident_Month_Number,Incident_Month_Name,Incident_Dayofweek_number,Incident_Dayofweek_name,Incident_Year,Incident_Time,Incident_Hour,Report_Date,Report_Dayofmonth,Report_Month_Number,Report_Month_Name,Report_Dayofweek_number,Report_Dayofweek_name,Report_Year,Report_time,Report_Hour,Incident_Code,Incident_Category,Incident_Subcategory,Incident_Description,Report_Type_Code,Report_Type_Description,Filed_Online,Police_District,Resolution,Latitude,Longitude,Point,Neighborhood,Intersection
18,1064895,210553522,2021-08-29T00:00:00,29,8,August,6,Sunday,2021,03:32:00,3,2021-08-29T00:00:00,29,8,August,6,Sunday,2021,03:32:00,03:32:00,64020,Miscellaneous,Other,Mental Health Detention,II,Initial,0,Taraval,Open or Active,37.74359563,-122.5058238,POINT (-122.50582381160287 37.743595632975314),Sunset/Parkside,47TH AVE \ SANTIAGO ST
19,1045573,210407979,2021-07-01T00:00:00,1,7,July,3,Thursday,2021,09:45:00,9,2021-07-01T00:00:00,1,7,July,3,Thursday,2021,09:45:00,09:45:00,72000,Miscellaneous,Non-Criminal,Found  Property,IS,Initial Supplement,0,Park,Open or Active,37.77157104,-122.4421879,POINT (-122.44218788158265 37.77157103671907),Haight Ashbury,PAGE ST \ LYON ST
20,1060899,210523456,2021-08-16T00:00:00,16,8,August,0,Monday,2021,14:05:00,14,2021-08-16T00:00:00,16,8,August,0,Monday,2021,14:39:00,14:39:00,75000,Police Interaction Incidents,Missing Person,Found Person,II,Initial,0,Bayview,Open or Active,37.76002569,-122.3962839,POINT (-122.396283884172 37.760025690888604),Potrero Hill,MISSOURI ST \ 20TH ST
21,1080347,210671027,2021-10-13T00:00:00,13,10,October,2,Wednesday,2021,21:03:00,21,2021-10-13T00:00:00,13,10,October,2,Wednesday,2021,21:13:00,21:13:00,61030,Miscellaneous,Other,"Death Report, Cause Unknown",II,Initial,0,Bayview,Open or Active,37.75782586,-122.3902101,POINT (-122.39021008691539 37.7578258598883),Potrero Hill,22ND ST \ MINNESOTA ST
22,1049809,210440703,2021-07-12T00:00:00,12,7,July,0,Monday,2021,12:20:00,12,2021-07-12T00:00:00,12,7,July,0,Monday,2021,15:20:00,15:20:00,19057,Disorderly Conduct,Intimidation,Terrorist Threats,II,Initial,0,Tenderloin,Open or Active,37.78321431,-122.4107648,POINT (-122.41076482950653 37.78321431177312),Tenderloin,TURK ST \ TAYLOR ST
23,1037700,210348157,2019-06-11T00:00:00,11,6,June,1,Tuesday,2019,16:30:00,16,2021-06-05T00:00:00,5,6,June,5,Saturday,2021,05:17:00,05:17:00,2004,Rape,Rape,"Rape, Forcible, W/ Force",II,Initial,0,Southern,Open or Active,37.77595323,-122.4088458,POINT (-122.40884575063417 37.775953228502786),South of Market,HALLAM ST \ FOLSOM ST
24,1096231,210785098,2021-11-28T00:00:00,28,11,November,6,Sunday,2021,14:39:00,14,2021-11-28T00:00:00,28,11,November,6,Sunday,2021,14:44:00,14:44:00,64085,Miscellaneous,Other,Investigative Detention,II,Initial,0,Bayview,Open or Active,37.73243866,-122.4056075,POINT (-122.40560754920035 37.7324386568328),Portola,SILVER AVE \ SAN BRUNO AVE
25,1054461,210476350,2021-07-26T00:00:00,26,7,July,0,Monday,2021,13:00:00,13,2021-07-27T00:00:00,27,7,July,1,Tuesday,2021,01:28:00,01:28:00,71000,Property Crimes,Lost Property,Lost Property,II,Initial,0,Northern,Open or Active,37.7882227,-122.4202104,POINT (-122.42021043633935 37.788222699672026),Nob Hill,POLK ST \ FERN ST
26,1048467,210431401,2021-07-08T00:00:00,8,7,July,3,Thursday,2021,23:22:00,23,2021-07-09T00:00:00,9,7,July,4,Friday,2021,00:00:00,00:00:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Central,Open or Active,37.80094306,-122.4076455,POINT (-122.40764549330265 37.80094306477118),North Beach,NOBLES ALY \ GRANT AVE
27,1039241,210362878,2021-06-08T00:00:00,8,6,June,1,Tuesday,2021,20:50:00,20,2021-06-11T00:00:00,11,6,June,4,Friday,2021,09:02:00,09:02:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Richmond,Open or Active,37.78116026,-122.4610628,POINT (-122.46106282968253 37.781160260651106),Inner Richmond,03RD AVE \ GEARY BLVD
28,1197413,220659671,2022-09-25T00:00:00,25,9,September,6,Sunday,2022,17:00:00,17,2022-09-26T00:00:00,26,9,September,0,Monday,2022,17:09:00,17:09:00,74000,Police Interaction Incidents,Missing Adult,Missing Adult,II,Initial,0,Mission,Open or Active,37.75723241,-122.4156262,POINT (-122.41562619847495 37.75723240847821),Mission,21ST ST \ SHOTWELL ST
29,1074795,210629377,2021-09-27T00:00:00,27,9,September,0,Monday,2021,17:30:00,17,2021-09-27T00:00:00,27,9,September,0,Monday,2021,17:30:00,17:30:00,72000,Miscellaneous,Non-Criminal,Found  Property,II,Initial,0,Richmond,Open or Active,37.77909073,-122.464145,POINT (-122.46414497098554 37.779090726308574),Inner Richmond,ANZA ST \ 06TH AVE
30,1073497,210619635,2021-09-24T00:00:00,24,9,September,4,Friday,2021,00:47:00,0,2021-09-24T00:00:00,24,9,September,4,Friday,2021,00:47:00,00:47:00,64085,Miscellaneous,Other,Investigative Detention,II,Initial,0,Park,Open or Active,37.76824602,-122.4533523,POINT (-122.45335228997452 37.768246024114525),Golden Gate Park,WALLER ST \ STANYAN ST
31,1096884,210790439,2021-11-29T00:00:00,29,11,November,0,Monday,2021,21:00:00,21,2021-11-30T00:00:00,30,11,November,1,Tuesday,2021,13:15:00,13:15:00,74000,Police Interaction Incidents,Missing Adult,Missing Adult,II,Initial,0,Ingleside,Open or Active,37.74436324,-122.4289595,POINT (-122.42895947402056 37.74436323860581),Noe Valley,VALLEY ST \ SANCHEZ ST
32,1052984,210464850,2021-07-22T00:00:00,22,7,July,3,Thursday,2021,23:04:00,23,2021-07-22T00:00:00,22,7,July,3,Thursday,2021,23:23:00,23:23:00,64070,Suspicious,Suspicious Occ,Suspicious Occurrence,II,Initial,0,Park,Open or Active,37.77086854,-122.4251355,POINT (-122.42513550957302 37.77086854458143),Hayes Valley,HERMANN ST \ LAGUNA ST
33,1066719,210566854,2021-09-03T00:00:00,3,9,September,4,Friday,2021,10:15:00,10,2021-09-03T00:00:00,3,9,September,4,Friday,2021,10:32:00,10:32:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Southern,Open or Active,37.77832683,-122.3965306,POINT (-122.39653063923612 37.7783268304671),South of Market,04TH ST \ BRANNAN ST
34,1079457,210663864,2021-09-29T00:00:00,29,9,September,2,Wednesday,2021,10:52:00,10,2021-10-11T00:00:00,11,10,October,0,Monday,2021,16:55:00,16:55:00,71000,Property Crimes,Lost Property,Lost Property,II,Initial,0,Ingleside,Open or Active,37.73154296,-122.4488663,POINT (-122.44886626631308 37.73154295855655),West of Twin Peaks,FOERSTER ST \ MONTEREY BLVD
35,1081298,216150681,2021-10-14T00:00:00,14,10,October,3,Thursday,2021,20:00:00,20,2021-10-15T00:00:00,15,10,October,4,Friday,2021,00:00:00,00:00:00,71000,Property Crimes,Lost Property,Lost Property,CI,Coplogic Initial,1,Northern,Open or Active,37.78556385,-122.4297826,POINT (-122.42978259351794 37.78556384617361),Japantown,POST ST \ BUCHANAN ST
36,1050551,210445894,2021-07-14T00:00:00,14,7,July,2,Wednesday,2021,21:24:00,21,2021-07-14T00:00:00,14,7,July,2,Wednesday,2021,21:39:00,21:39:00,64085,Miscellaneous,Other,Investigative Detention,II,Initial,0,Northern,Cite or Arrest Adult,37.78356778,-122.4192734,POINT (-122.41927343381671 37.78356778488696),Tenderloin,POLK ST \ WILLOW ST
37,1085412,210705347,2021-10-27T00:00:00,27,10,October,2,Wednesday,2021,12:45:00,12,2021-10-27T00:00:00,27,10,October,2,Wednesday,2021,18:31:00,18:31:00,6373,Property Crimes,Larceny Theft - Other,"Theft, Other Property, $200-$950",II,Initial,0,Taraval,Open or Active,37.72694991,-122.4760395,POINT (-122.47603947349434 37.72694991292525),Lakeshore,20TH AVE \ WINSTON DR
38,1043526,210396786,2021-06-24T00:00:00,24,6,June,3,Thursday,2021,17:50:00,17,2021-06-24T00:00:00,24,6,June,3,Thursday,2021,20:50:00,20:50:00,72000,Miscellaneous,Non-Criminal,Found  Property,II,Initial,0,Northern,Open or Active,37.80423845,-122.4380045,POINT (-122.43800453567651 37.80423845407946),Marina,BEACH ST \ RETIRO WAY
39,1051815,210455257,2021-07-18T00:00:00,18,7,July,6,Sunday,2021,00:02:00,0,2021-07-19T00:00:00,19,7,July,0,Monday,2021,00:02:00,00:02:00,64020,Miscellaneous,Other,Mental Health Detention,II,Initial,0,Northern,Open or Active,37.80549853,-122.4403281,POINT (-122.44032809977274 37.80549853211586),Marina,AVILA ST \ RICO WAY
40,1083219,210690453,2021-10-21T00:00:00,21,10,October,3,Thursday,2021,13:45:00,13,2021-10-21T00:00:00,21,10,October,3,Thursday,2021,13:45:00,13:45:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Ingleside,Open or Active,37.71811888,-122.4387712,POINT (-122.43877121369543 37.71811888080042),Excelsior,LONDON ST \ ITALY AVE
41,1083199,210690566,2021-10-21T00:00:00,21,10,October,3,Thursday,2021,13:20:00,13,2021-10-21T00:00:00,21,10,October,3,Thursday,2021,13:22:00,13:22:00,75025,Miscellaneous,Non-Criminal,Search Warrant Service,II,Initial,0,Mission,Open or Active,37.75257276,-122.4129952,POINT (-122.41299517589735 37.752572755312706),Mission,TREAT AVE \ 24TH ST
42,1072776,210613427,2021-09-21T00:00:00,21,9,September,1,Tuesday,2021,20:19:00,20,2021-09-21T00:00:00,21,9,September,1,Tuesday,2021,20:19:00,20:19:00,4013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",II,Initial,0,Mission,Open or Active,37.7657833,-122.4075342,POINT (-122.40753423057456 37.76578329861651),Mission,16TH ST \ POTRERO AVE
43,1071329,210602129,2021-09-16T00:00:00,16,9,September,3,Thursday,2021,00:00:00,0,2021-09-17T00:00:00,17,9,September,4,Friday,2021,10:26:00,10:26:00,75000,Police Interaction Incidents,Missing Person,Found Person,II,Initial,0,Southern,Open or Active,37.77100919,-122.3911993,POINT (-122.39119934924325 37.77100919089478),Mission Bay,04TH ST \ MISSION BAY BLVD
44,1057113,210495059,2021-08-04T00:00:00,4,8,August,2,Wednesday,2021,17:45:00,17,2021-08-04T00:00:00,4,8,August,2,Wednesday,2021,18:55:00,18:55:00,68000,Fire Report,Fire Report,Fire Report,II,Initial,0,Mission,Open or Active,37.75858492,-122.4198413,POINT (-122.41984131774169 37.75858492478668),Mission,20TH ST \ SAN CARLOS ST
45,1083880,210694665,2021-10-23T00:00:00,23,10,October,5,Saturday,2021,07:13:00,7,2021-10-23T00:00:00,23,10,October,5,Saturday,2021,07:16:00,07:16:00,64020,Miscellaneous,Other,Mental Health Detention,II,Initial,0,Mission,Open or Active,37.76505134,-122.419669,POINT (-122.41966897380142 37.76505133632968),Mission,16TH ST \ MISSION ST
46,1113985,220047361,2022-01-22T00:00:00,22,1,January,5,Saturday,2022,05:32:00,5,2022-01-22T00:00:00,22,1,January,5,Saturday,2022,05:32:00,05:32:00,26031,Arson,Arson,Arson of Vehicle,II,Initial,0,Bayview,Open or Active,37.74595386,-122.4020267,POINT (-122.40202670344281 37.74595385526537),Bayview Hunters Point,NAPOLEON ST \ JERROLD AVE
47,1073081,210615978,2021-09-22T00:00:00,22,9,September,2,Wednesday,2021,19:30:00,19,2021-09-22T00:00:00,22,9,September,2,Wednesday,2021,19:30:00,19:30:00,51040,Miscellaneous,Non-Criminal,Aided Case,II,Initial,0,Central,Open or Active,37.80716325,-122.4088973,POINT (-122.40889733794425 37.807163251424285),North Beach,GRANT AVE \ NORTH POINT ST
48,1068216,216124614,2021-08-30T00:00:00,30,8,August,0,Monday,2021,18:30:00,18,2021-09-07T00:00:00,7,9,September,1,Tuesday,2021,20:29:00,20:29:00,71000,Property Crimes,Lost Property,Lost Property,CI,Coplogic Initial,1,Central,Open or Active,37.78724521,-122.4166387,POINT (-122.4166386980169 37.787245209374895),Nob Hill,POST ST \ HYDE ST
49,1113807,220045553,2022-01-21T00:00:00,21,1,January,4,Friday,2022,10:29:00,10,2022-01-21T00:00:00,21,1,January,4,Friday,2022,10:34:00,10:34:00,64020,Miscellaneous,Other,Mental Health Detention,II,Initial,0,Park,Open or Active,37.76422484,-122.4620305,POINT (-122.46203054225813 37.76422483691618),Inner Sunset,05TH AVE \ IRVING ST
50,1052314,210460018,2021-07-20T00:00:00,20,7,July,1,Tuesday,2021,19:15:00,19,2021-07-20T00:00:00,20,7,July,1,Tuesday,2021,21:11:00,21:11:00,71000,Property Crimes,Lost Property,Lost Property,II,Initial,0,Central,Open or Active,37.80707251,-122.4172606,POINT (-122.41726063240938 37.80707251301197),North Beach,BEACH ST \ JONES ST
51,1082121,210683931,2021-10-18T00:00:00,18,10,October,0,Monday,2021,22:00:00,22,2021-10-18T00:00:00,18,10,October,0,Monday,2021,22:02:00,22:02:00,27195,Miscellaneous,Trespass,Trespassing,II,Initial,0,Northern,Open or Active,37.78289412,-122.420817,POINT (-122.42081700428415 37.78289412114938),Tenderloin,EDDY ST \ VAN NESS AVE
52,1131429,220174334,2022-03-16T00:00:00,16,3,March,2,Wednesday,2022,14:30:00,14,2022-03-16T00:00:00,16,3,March,2,Wednesday,2022,15:00:00,15:00:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Mission,Open or Active,37.75268489,-122.4109627,POINT (-122.41096266273817 37.752684887265225),Mission,ALABAMA ST \ 24TH ST
53,1083341,210691865,2021-10-21T00:00:00,21,10,October,3,Thursday,2021,23:25:00,23,2021-10-21T00:00:00,21,10,October,3,Thursday,2021,23:38:00,23:38:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Northern,Open or Active,37.78077316,-122.4187089,POINT (-122.41870890513495 37.780773160648025),Tenderloin,POLK ST \ REDWOOD ST
54,1085365,210697277,2021-10-24T00:00:00,24,10,October,6,Sunday,2021,13:55:00,13,2021-10-24T00:00:00,24,10,October,6,Sunday,2021,13:56:00,13:56:00,51040,Miscellaneous,Non-Criminal,Aided Case,II,Initial,0,Northern,Open or Active,37.79159165,-122.4343805,POINT (-122.43438048549993 37.791591649822166),Pacific Heights,FILLMORE ST \ WASHINGTON ST
55,1072804,210611211,2021-09-21T00:00:00,21,9,September,1,Tuesday,2021,00:15:00,0,2021-09-21T00:00:00,21,9,September,1,Tuesday,2021,00:15:00,00:15:00,4134,Assault,Simple Assault,Battery,IS,Initial Supplement,0,Mission,Open or Active,37.7528524,-122.408189,POINT (-122.40818896891844 37.75285240350464),Mission,24TH ST \ YORK ST
56,1091706,210753368,2021-11-15T00:00:00,15,11,November,0,Monday,2021,14:19:00,14,2021-11-15T00:00:00,15,11,November,0,Monday,2021,14:24:00,14:24:00,51040,Miscellaneous,Non-Criminal,Aided Case,II,Initial,0,Richmond,Open or Active,37.77909073,-122.464145,POINT (-122.46414497098554 37.779090726308574),Inner Richmond,ANZA ST \ 06TH AVE
57,1056732,210491314,2021-08-03T00:00:00,3,8,August,1,Tuesday,2021,10:51:00,10,2021-08-03T00:00:00,3,8,August,1,Tuesday,2021,10:51:00,10:51:00,51040,Miscellaneous,Non-Criminal,Aided Case,II,Initial,0,Mission,Open or Active,37.76088893,-122.4350007,POINT (-122.4350007026991 37.76088893209152),Castro/Upper Market,18TH ST \ CASTRO ST
58,1056160,210488480,2021-07-31T00:00:00,31,7,July,5,Saturday,2021,17:00:00,17,2021-08-02T00:00:00,2,8,August,0,Monday,2021,07:48:00,07:48:00,27195,Miscellaneous,Trespass,Trespassing,II,Initial,0,Bayview,Open or Active,37.76630899,-122.398825,POINT (-122.39882499960139 37.76630899357309),Mission Bay,16TH ST \ ARKANSAS ST
59,1070540,210596334,2021-09-12T00:00:00,12,9,September,6,Sunday,2021,08:50:00,8,2021-09-13T00:00:00,13,9,September,0,Monday,2021,22:11:00,22:11:00,64070,Suspicious,Suspicious Occ,Suspicious Occurrence,II,Initial,0,Southern,Open or Active,37.77346692,-122.3914343,POINT (-122.39143433652146 37.773466920607476),Mission Bay,04TH ST \ LONG BRIDGE ST
60,1086799,210714752,2021-10-31T00:00:00,31,10,October,6,Sunday,2021,14:24:00,14,2021-10-31T00:00:00,31,10,October,6,Sunday,2021,14:29:00,14:29:00,64020,Miscellaneous,Other,Mental Health Detention,II,Initial,0,Southern,Open or Active,37.77527206,-122.4159082,POINT (-122.4159081801724 37.77527205930737),South of Market,MISSION ST \ 10TH ST
61,1070176,210593465,2021-09-14T00:00:00,14,9,September,1,Tuesday,2021,21:56:00,21,2021-09-14T00:00:00,14,9,September,1,Tuesday,2021,21:59:00,21:59:00,51040,Miscellaneous,Non-Criminal,Aided Case,II,Initial,0,Bayview,Open or Active,37.73493314,-122.3860672,POINT (-122.38606720211364 37.73493313717421),Bayview Hunters Point,LINDSAY CIR \ LA SALLE AVE
62,1072949,210614679,2020-11-29T00:00:00,29,11,November,6,Sunday,2020,13:00:00,13,2021-09-22T00:00:00,22,9,September,2,Wednesday,2021,11:43:00,11:43:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Park,Open or Active,37.80372713,-122.4284003,POINT (-122.42840027589088 37.80372712877811),Marina,BAY ST \ GOUGH ST
63,1055791,210485486,2021-07-31T00:00:00,31,7,July,5,Saturday,2021,18:00:00,18,2021-07-31T00:00:00,31,7,July,5,Saturday,2021,18:30:00,18:30:00,72000,Miscellaneous,Non-Criminal,Found  Property,II,Initial,0,Tenderloin,Open or Active,37.78393258,-122.4125953,POINT (-122.41259527758581 37.7839325760642),Tenderloin,EDDY ST \ JONES ST
64,1085410,210705450,2021-10-27T00:00:00,27,10,October,2,Wednesday,2021,19:25:00,19,2021-10-27T00:00:00,27,10,October,2,Wednesday,2021,19:29:00,19:29:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Mission,Open or Active,37.76572075,-122.4219643,POINT (-122.42196431314674 37.765720754921674),Mission,VALENCIA ST \ SPARROW ST
65,1086200,210711037,2021-10-29T00:00:00,29,10,October,4,Friday,2021,19:30:00,19,2021-10-29T00:00:00,29,10,October,4,Friday,2021,20:06:00,20:06:00,4170,Assault,Simple Assault,False Imprisonment,II,Initial,0,Taraval,Open or Active,37.77139603,-122.5098948,POINT (-122.50989475109745 37.771396030943585),Outer Richmond,FULTON ST \ LA PLAYA
66,1106368,210854728,2021-12-26T00:00:00,26,12,December,6,Sunday,2021,15:00:00,15,2021-12-27T00:00:00,27,12,December,0,Monday,2021,09:08:00,09:08:00,74000,Police Interaction Incidents,Missing Adult,Missing Adult,II,Initial,0,Taraval,Open or Active,37.75362671,-122.4904006,POINT (-122.4904006153331 37.753626711810526),Sunset/Parkside,32ND AVE \ NORIEGA ST
67,1099642,210808145,2021-12-06T00:00:00,6,12,December,0,Monday,2021,18:00:00,18,2021-12-07T00:00:00,7,12,December,1,Tuesday,2021,11:55:00,11:55:00,9027,Fraudulent Activities,Fraud,False Personation,II,Initial,0,Northern,Open or Active,37.79667044,-122.4387794,POINT (-122.43877940341498 37.79667044204757),Marina,UNION ST \ PIERCE ST
68,1088332,210726268,2021-11-04T00:00:00,4,11,November,3,Thursday,2021,21:20:00,21,2021-11-04T00:00:00,4,11,November,3,Thursday,2021,21:20:00,21:20:00,72000,Miscellaneous,Non-Criminal,Found  Property,II,Initial,0,Ingleside,Open or Active,37.71811888,-122.4387712,POINT (-122.43877121369543 37.71811888080042),Excelsior,LONDON ST \ ITALY AVE
69,1090435,210741476,2021-11-10T00:00:00,10,11,November,2,Wednesday,2021,19:00:00,19,2021-11-10T00:00:00,10,11,November,2,Wednesday,2021,22:52:00,22:52:00,4134,Assault,Simple Assault,Battery,II,Initial,0,Southern,Open or Active,37.7730511,-122.4032051,POINT (-122.40320508205973 37.773051100635065),South of Market,07TH ST \ BRANNAN ST
70,1113703,220045042,2022-01-21T00:00:00,21,1,January,4,Friday,2022,03:26:00,3,2022-01-21T00:00:00,21,1,January,4,Friday,2022,03:26:00,03:26:00,64085,Miscellaneous,Other,Investigative Detention,II,Initial,0,Northern,Open or Active,37.77729986,-122.4196936,POINT (-122.41969356688878 37.7772998550869),Tenderloin,VAN NESS AVE \ HAYES ST
